Rabbit-population,Rabbit-born children,Rabbit-max size,Rabbit-diet factor,Rabbit-#children,Rabbit-speed,Rabbit-heat Timer,Rabbit-sight length,Rabbit-smell radius
20,0,3.0000,0.0000,2.0000,10.0000,13.0000,40.0000,20.0000
20,0,3.0000,0.0000,2.0000,10.0000,13.0000,40.0000,20.0000
20,0,3.0000,0.0000,2.0000,10.0000,13.0000,40.0000,20.0000
20,0,3.0000,0.0000,2.0000,10.0000,13.0000,40.0000,20.0000
20,0,3.0000,0.0000,2.0000,10.0000,13.0000,40.0000,20.0000
20,0,3.0000,0.0000,2.0000,10.0000,13.0000,40.0000,20.0000
20,0,3.0000,0.0000,2.0000,10.0000,13.0000,40.0000,20.0000
20,0,3.0000,0.0000,2.0000,10.0000,13.0000,40.0000,20.0000
20,0,3.0000,0.0000,2.0000,10.0000,13.0000,40.0000,20.0000
20,0,3.0000,0.0000,2.0000,10.0000,13.0000,40.0000,20.0000
20,0,3.0000,0.0000,2.0000,10.0000,13.0000,40.0000,20.0000
20,0,3.0000,0.0000,2.0000,10.0000,13.0000,40.0000,20.0000
20,0,3.0000,0.0000,2.0000,10.0000,13.0000,40.0000,20.0000
20,0,3.0000,0.0000,2.0000,10.0000,13.0000,40.0000,20.0000
20,0,3.0000,0.0000,2.0000,10.0000,13.0000,40.0000,20.0000
22,2,3.0000,0.0000,2.0000,10.0000,13.0000,40.0000,20.0000
18,2,3.0000,0.0000,2.0000,10.0000,13.0000,40.0000,20.0000
14,2,3.0000,0.0000,2.0000,10.0000,13.0000,40.0000,20.0000
20,0,3.0000,0.0000,2.0000,10.0000,13.0000,40.0000,20.0000
20,0,3.0000,0.0000,2.0000,10.0000,13.0000,40.0000,20.0000
20,0,3.0000,0.0000,2.0000,10.0000,13.0000,40.0000,20.0000
20,0,3.0000,0.0000,2.0000,10.0000,13.0000,40.0000,20.0000
20,0,3.0000,0.0000,2.0000,10.0000,13.0000,40.0000,20.0000
20,0,3.0000,0.0000,2.0000,10.0000,13.0000,40.0000,20.0000
20,0,3.0000,0.0000,2.0000,10.0000,13.0000,40.0000,20.0000
20,0,3.0000,0.0000,2.0000,10.0000,13.0000,40.0000,20.0000
20,0,3.0000,0.0000,2.0000,10.0000,13.0000,40.0000,20.0000
20,0,3.0000,0.0000,2.0000,10.0000,13.0000,40.0000,20.0000
20,0,3.0000,0.0000,2.0000,10.0000,13.0000,40.0000,20.0000
20,0,3.0000,0.0000,2.0000,10.0000,13.0000,40.0000,20.0000
20,0,3.0000,0.0000,2.0000,10.0000,13.0000,40.0000,20.0000
20,0,3.0000,0.0000,2.0000,10.0000,13.0000,40.0000,20.0000
20,0,3.0000,0.0000,2.0000,10.0000,13.0000,40.0000,20.0000
19,0,3.0000,0.0000,2.0000,10.0000,13.0000,40.0000,20.0000
18,0,3.0000,0.0000,2.0000,10.0000,13.0000,40.0000,20.0000
18,0,3.0000,0.0000,2.0000,10.0000,13.0000,40.0000,20.0000
1,0,3.0000,0.0000,2.0000,10.0000,13.0000,40.0000,20.0000
1,0,3.0000,0.0000,2.0000,10.0000,13.0000,40.0000,20.0000
1,0,3.0000,0.0000,2.0000,10.0000,13.0000,40.0000,20.0000
1,0,3.0000,0.0000,2.0000,10.0000,13.0000,40.0000,20.0000
1,0,3.0000,0.0000,2.0000,10.0000,13.0000,40.0000,20.0000
1,0,3.0000,0.0000,2.0000,10.0000,13.0000,40.0000,20.0000
1,0,3.0000,0.0000,2.0000,10.0000,13.0000,40.0000,20.0000
1,0,3.0000,0.0000,2.0000,10.0000,13.0000,40.0000,20.0000
1,0,3.0000,0.0000,2.0000,10.0000,13.0000,40.0000,20.0000
1,0,3.0000,0.0000,2.0000,10.0000,13.0000,40.0000,20.0000
1,0,3.0000,0.0000,2.0000,10.0000,13.0000,40.0000,20.0000
1,0,3.0000,0.0000,2.0000,10.0000,13.0000,40.0000,20.0000
1,0,3.0000,0.0000,2.0000,10.0000,13.0000,40.0000,20.0000
1,0,3.0000,0.0000,2.0000,10.0000,13.0000,40.0000,20.0000
1,0,3.0000,0.0000,2.0000,10.0000,13.0000,40.0000,20.0000
1,0,3.0000,0.0000,2.0000,10.0000,13.0000,40.0000,20.0000
1,0,3.0000,0.0000,2.0000,10.0000,13.0000,40.0000,20.0000
1,0,3.0000,0.0000,2.0000,10.0000,13.0000,40.0000,20.0000
1,0,3.0000,0.0000,2.0000,10.0000,13.0000,40.0000,20.0000
1,0,3.0000,0.0000,2.0000,10.0000,13.0000,40.0000,20.0000
1,0,3.0000,0.0000,2.0000,10.0000,13.0000,40.0000,20.0000
20,0,3.0000,0.0000,2.0000,10.0000,13.0000,40.0000,20.0000
20,0,3.0000,0.0000,2.0000,10.0000,13.0000,40.0000,20.0000
20,0,3.0000,0.0000,2.0000,10.0000,13.0000,40.0000,20.0000
20,0,3.0000,0.0000,2.0000,10.0000,13.0000,40.0000,20.0000
20,0,3.0000,0.0000,2.0000,10.0000,13.0000,40.0000,20.0000
